"pm10","pm2.5"
25,5.45994298309214
27,5.46327824576659
18,5.46661350844105
32,5.4699487711155
43,5.47328403378996
32,5.47661929646441
24,5.47995455913887
18,5.48328982181333
25,5.48662508448778
26,5.48996034716224
21,5.49329560983669
19,5.49663087251115
19,5.4999661351856
29,5.50330139786006
19,5.50663666053451
27,5.50997192320897
21,5.51330718588342
16,5.51664244855788
17,5.51997771123234
18,5.52331297390679
25,5.52664823658125
34,5.5299834992557
29,5.53331876193016
22,5.53665402460461
27,5.53998928727907
18,5.54332454995352
18,5.54665981262798
15,5.54999507530243
14,5.55333033797689
15,5.55666560065135
15,5.5600008633258
14,5.56333612600026
16,5.56667138867471
12,5.57000665134917
20,5.57334191402362
20,5.57667717669808
22,5.58001243937253
15,5.58334770204699
