"","co1","so2","ozone","temp","rh"
"704",0.249,0.1,0.012,44,58
"705",0.252,0.2,0.018,45,55
"706",0.217,0.3,0.022,46,52
"707",0.183,0.4,0.025,48,49
"708",0.176,0.6,0.027,49,44
"709",0.175,0.2,0.028,51,41
"710",0.178,0.1,0.03,53,38
"711",0.19,0.1,0.032,55,35
"712",0.186,0.3,0.034,56,33
"713",0.198,0.4,0.034,56,33
"714",0.191,0.6,0.033,56,33
"715",0.214,0.9,0.031,56,33
"716",0.211,0.7,0.031,55,34
"717",0.196,0.7,0.031,55,34
"718",0.183,1.2,0.03,54,37
"719",0.191,1,0.028,53,38
"720",0.191,0.6,0.027,53,39
"721",0.188,0.4,0.027,52,40
"722",0.197,0.7,0.026,51,42
"723",0.202,0.5,0.025,51,44
"724",0.201,0.3,0.023,50,46
"725",0.193,0.3,0.023,49,48
"726",0.19,0.4,0.022,49,49
"727",0.191,0.3,0.022,49,50
"728",0.195,0.2,0.021,48,52
"729",0.201,0.1,0.02,48,53
"730",0.203,0.3,0.021,48,53
"731",0.187,0.5,0.023,49,52
"732",0.199,0.6,0.024,51,50
"733",0.196,0.7,0.026,52,51
"734",0.201,2,0.019,53,53
"735",0.211,1.6,0.02,53,58
"736",0.25,0.3,0.019,51,73
"737",0.282,0,0.013,51,87
"738",0.307,0,0.008,51,89
"739",0.308,0,0.007,51,90
"740",0.265,0,0.017,52,90
"741",0.248,0,0.02,52,91
"742",0.225,0,0.022,52,91
"743",0.214,0,0.019,52,92
"744",0.202,0,0.021,54,92
"745",0.197,0,0.023,56,93
"746",0.201,0,0.021,56,93
"747",0.217,0,0.016,57,94
"748",0.21,0,0.013,58,93
